Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
21222,2021,1/24/2022,Newtown,14-17 PINE STREET,"154,750.00","270,000.00",0.5731,Residential,Single Family,25 - Other,MULTI PARCELS,,POINT (-73.273554013 41.432087995)
210272,2021,1/24/2022,Wallingford,6 COMPASS ROCK LN,"267,100.00","504,900.00",0.529,Residential,Single Family,,,,POINT (-72.841898991 41.506241016)
2100405,2021,1/24/2022,Stratford,635 SECOND HILL LANE,"216,160.00","430,000.00",0.5026,Residential,Single Family,,,,POINT (-73.155723984 41.214461015)
210086,2021,1/24/2022,Tolland,175 HARTFORD TPKE,"146,200.00","155,000.00",0.9432,Commercial,,03 - Inter Corporation,,,POINT (-72.419270022 41.865125989)
21131,2021,1/24/2022,Plainfield,35 JOLLEY RD,"102,340.00","238,000.00",0.43,Residential,Single Family,,,,POINT (-71.903620033 41.758947015)
210568,2021,1/24/2022,Southington,150-2C BURRITT ST,"97,650.00","147,000.00",0.664285714,Residential,Condo,,,,POINT (-72.904915983 41.568159015)
210801,2021,1/24/2022,Waterbury,73 MOHAWK ST,"120,850.00","318,877.00",0.378986255,Residential,Three Family,25 - Other,BULK SALE,,POINT (-73.021479004 41.535285987)
210307,2021,1/24/2022,Norwich,150 YANTIC ST #306,"35,200.00","81,900.00",0.4297,Residential,Single Family,,,,POINT (-72.085816754 41.534144059)
210031,2021,1/24/2022,Washington,46 HINKLE RD,"274,310.00","577,500.00",0.4749,Residential,Single Family,,,,POINT (-73.279972036 41.664197017)
210110,2021,1/24/2022,Suffield,15 DOWNING WAY,"145,670.00","265,000.00",0.5496,Residential,Condo,,,,POINT (-72.664052021 41.982151983)
21136,2021,1/24/2022,Plainville,9 STREMLAU AVE,"122,780.00","195,000.00",0.6296,Residential,Single Family,,,,POINT (-72.85876799 41.659226004)
210796,2021,1/24/2022,Waterbury,93 MORELAND AVE,"68,900.00","220,000.00",0.3131,Residential,Single Family,,,,POINT (-72.991196026 41.54664401)
210188,2021,1/24/2022,New London,100 PEQUOT AVE SLIP 4007,"7,000.00","17,000.00",0.411764706,Commercial,,,,,POINT (-72.099287013 41.338080005)
2100823,2021,1/24/2022,Stamford,25 VAN BUSKIRK AVENUE,"233,470.00","515,000.00",0.4533,Residential,Single Family,,,,POINT (-73.518083968 41.048746012)
21164,2021,1/24/2022,Ridgefield,205 MOUNTAIN RD,"420,150.00","779,000.00",0.5393,Residential,Single Family,07 - Change in Property,,,POINT (-73.496025984 41.343051019)
210124,2021,1/24/2022,Seymour,31 WEST ST,"101,710.00","184,000.00",0.5527,Residential,Single Family,,,,POINT (-73.077693997 41.393186995)
210212,2021,1/24/2022,South Windsor,804 TWIN CIRCLE DR,"59,600.00","110,000.00",0.5418,Residential,Condo,,,,POINT (-72.578803707 41.822606689)
210428,2021,1/24/2022,New Haven,102 WHEELER ST,"2,134,965.00","6,431,100.00",0.3319,Industrial,,,,,POINT (-72.898679009 41.298843981)
210591,2021,1/24/2022,Norwalk,71 AIKEN ST UNIT A13,"130,550.00","245,000.00",0.5328,Residential,Condo,,5-21-382-A/13,,POINT (-73.420586006 41.136430987)
213361,2021,1/24/2022,North Haven,43 WAYLAND ST,"95,200.00","75,000.00",1.2693,Vacant Land,,,,,POINT (-72.903867994 41.373272013)
210193,2021,1/24/2022,New London,63 HEMPSTEAD ST,"49,630.00","59,000.00",0.8411,Residential,Single Family,14 - Foreclosure,,,POINT (-72.103438988 41.354245009)
2100404,2021,1/24/2022,Stratford,63B CHEYENNE LANE,"122,360.00","295,000.00",0.4147,Residential,Condo,,,,POINT (-73.107462997 41.246954008)
210033,2021,1/24/2022,Sterling,101 GIBSON HILL RD,"261,810.00","565,000.00",0.4633,Residential,Single Family,,LOG BUILDING BUILT 2011 ON 8.03 ACRES,,POINT (-71.797965975 41.704920997)
210348,2021,1/24/2022,Torrington,D26 SURREY LN,"38,760.00","120,000.00",0.323,Residential,Condo,,,,POINT (-73.11956504 41.823621989)
21039,2021,1/24/2022,North Stonington,116 NRWH WSTLY RD,"544,670.00","1,515,000.00",0.3595,Commercial,,,,,POINT (-71.90452 41.45301)
210430,2021,1/24/2022,New Haven,533 QUINNIPIAC AV,"116,060.00","192,000.00",0.6044,Residential,Two Family,,,,POINT (-72.887832994 41.304756995)
210073,2021,1/24/2022,North Branford,69 WOODS HILL RD,"370,200.00","685,000.00",0.5404,Residential,Single Family,,,,POINT (-72.772440004 41.414404987)
2100820,2021,1/24/2022,Stamford,596 GLENBROOK ROAD #19,"314,700.00","530,000.00",0.5937,Residential,Condo,,EXECUTOR'S DEED,,POINT (-73.518732979 41.073010993)
21223,2021,1/24/2022,Newtown,11 DEER HILL DRIVE,"194,200.00","890,750.00",0.218018524,Residential,Single Family,07 - Change in Property,CONSTRUCTION NOT COMPLETE,,POINT (-73.27609501 41.448622306)
210431,2021,1/24/2022,New Haven,264 NEWHALL ST,"331,062.00","575,000.00",0.5757,Apartments,,,,,POINT (-72.928171993 41.330935984)
210305,2021,1/24/2022,Norwich,55 SHERMAN ST,"60,800.00","170,000.00",0.3576,Residential,Single Family,,,,POINT (-72.09155697 41.53559398)
210061,2021,1/24/2022,Somers,127 COLTON RD,"222,100.00","340,000.00",0.6532,Residential,Single Family,,,,POINT (-72.460810986 41.986049987)
2100065,2021,1/24/2022,Prospect,22 NANCY MAE AVE,"168,450.00","315,000.00",0.5347,Residential,Single Family,,,,POINT (-72.957160973 41.495645997)
21169,2021,1/24/2022,Southbury,131 PEPPER TREE HILL LANE,"208,070.00","380,500.00",0.5468,Residential,Single Family,,,,POINT (-73.196746024 41.480162987)
210567,2021,1/24/2022,Southington,1199 WOODRUFF ST,"352,230.00","425,000.00",0.828776471,Residential,Single Family,,,,POINT (-72.835997964 41.604048019)
210193,2021,1/24/2022,Newington,61 DEEPWOOD DR,"145,820.00","322,000.00",0.4528,Residential,Single Family,,,,POINT (-72.717036965 41.704328983)
2119858,2021,1/24/2022,Redding,73 STEPNEY RD,"392,300.00","750,000.00",0.523,Residential,Single Family,07 - Change in Property,FLIP,,POINT (-73.321088959 41.311570979)
210194,2021,1/24/2022,New London,72 MOUNTAIN AVE,"74,550.00","65,000.00",1.1469,Residential,Two Family,16 - Charitable Group,,,POINT (-72.104539029 41.354707019)
210186,2021,1/24/2022,New London,29 BRAINARD ST,"227,430.00","329,000.00",0.6912,Commercial,,16 - Charitable Group,BOARDING/ROOMING HOUSE,,POINT (-72.102833983 41.357267984)
210271,2021,1/24/2022,Wallingford,1268 OLD COLONY RD,"273,200.00","477,500.00",0.5721,Commercial,,,,,POINT (-72.815945015 41.508396003)
210209,2021,1/24/2022,South Windsor,205 HILTON DR,"143,500.00","310,000.00",0.4629,Residential,Single Family,,,,POINT (-72.594131107 41.819842505)
21135,2021,1/24/2022,Plainville,492 EAST ST C30,"54,460.00","82,500.00",0.6601,Residential,Condo,,,,POINT (-72.869714002 41.650974984)
21130,2021,1/24/2022,Plainfield,57 SALISBURY AVE,"91,020.00","217,000.00",0.4194,Residential,Single Family,,,,POINT (-71.88738504 41.715056981)
210795,2021,1/24/2022,Waterbury,37 SECOND AVE,"40,680.00","130,000.00",0.312923077,Residential,Single Family,25 - Other,PRIVATE SALE,,POINT (-73.042565022 41.560978993)
210269,2021,1/24/2022,Wallingford,57 GREEN ST,"152,900.00","265,000.00",0.5769,Residential,Single Family,,,,POINT (-72.82601101 41.442573001)
210347,2021,1/24/2022,Torrington,62 PULASKI ST,"80,380.00","153,000.00",0.5253,Residential,Single Family,,,,POINT (-73.128151965 41.810821985)
210589,2021,1/24/2022,Norwalk,33 PROSPECT AVE UNIT 33P & CLA,"103,690.00","215,000.00",0.4822,Residential,Condo,,1-19-13C-339 (CONDO) & 1-19-13C-G14 (GARAGE UNIT),,POINT (-73.421878998 41.114697005)
210187,2021,1/24/2022,New London,12 RIVERVIEW AVE,"87,710.00","103,000.00",0.8515,Residential,Single Family,07 - Change in Property,IN DISREPAIR,,POINT (-72.103289036 41.341320994)
210213,2021,1/24/2022,South Windsor,15 MORGAN FARMS DR,"799,900.00","1,565,000.00",0.5111,Commercial,,,,,POINT (-72.566684565 41.847814006)
210101,2021,1/24/2022,Rocky Hill,527 OLD MAIN STREET,"125,440.00","245,000.00",0.512,Residential,Single Family,,,,POINT (-72.640714959 41.67194001)
210799,2021,1/24/2022,Waterbury,61 CHIPMAN ST,"79,230.00","249,000.00",0.3181,Residential,Single Family,,,,POINT (-73.052988003 41.543221009)
2100822,2021,1/24/2022,Stamford,77 HAVEMEYER LANE #38,"545,440.00","965,000.00",0.5652,Residential,Condo,,,,POINT (-73.565795018 41.055780985)
210088,2021,1/24/2022,Tolland,80 MARBELLA LANE,"186,700.00","354,500.00",0.5266,Residential,Single Family,,,,POINT (-72.344045961 41.849866985)
2100817,2021,1/24/2022,Stamford,60 STRAWBERRY HILL AVE #715,"82,120.00","140,000.00",0.5865,Residential,Condo,,,,POINT (-73.53338597 41.062373017)
210303,2021,1/24/2022,Norwich,31 BLISS PL,"81,800.00","180,007.00",0.4544,Residential,Two Family,,,,POINT (-72.084930992 41.543718014)
210122,2021,1/24/2022,Seymour,28 STODDARD ST,"125,860.00","220,000.00",0.572,Residential,Single Family,,,,POINT (-73.065018967 41.39249398)
210191,2021,1/24/2022,New London,80 MORGAN ST,"101,150.00","270,126.00",0.3744,Residential,Single Family,,,,POINT (-72.118289039 41.367171999)
210613,2021,1/24/2022,Sprague,36-38 RIVER ST,"171,720.00","294,900.00",0.5822,Residential,Single Family,24 - Plottage,2 LOTS - SINGLE FAM & 2 FAM - SOLD IN PACKAGE DEAL - ASMTS COMBINED FOR RATIO,,POINT (-72.080507023 41.616244987)
210346,2021,1/24/2022,Torrington,460 TORRINGFORD ST,"93,470.00","190,700.00",0.4901,Residential,Single Family,,,,POINT (-73.084123001 41.809140994)
210427,2021,1/24/2022,New Haven,100 WHEELER ST,"3,230,745.00","11,147,240.00",0.2898,Industrial,,,,,POINT (-72.89765298 41.297546002)
21168,2021,1/24/2022,Southbury,1022 B HERITAGE VILLAGE,"99,440.00","182,000.00",0.5463,Residential,Condo,,,,POINT (-73.237770998 41.49138602)
210614,2021,1/24/2022,Sprague,16 PAUTIPAUG HILL RD,"124,640.00","270,000.00",0.4616,Residential,Single Family,,,,POINT (-72.09788296 41.618873007)
2100824,2021,1/24/2022,Stamford,91 STRAWBERRY HILL AVE #837,"104,680.00","196,000.00",0.534,Residential,Condo,,,,POINT (-73.532295988 41.063903007)
21224,2021,1/24/2022,Newtown,2 BROOKWOOD DRIVE,"249,690.00","460,000.00",0.5428,Residential,Single Family,,,,POINT (-73.349820028 41.369810999)
210030,2021,1/24/2022,Washington,67 RIVER RD,"234,230.00","485,000.00",0.4829,Residential,Single Family,24 - Plottage,OWNS 69 RIVER RD AS WELL,,POINT (-73.322477002 41.631938006)
210304,2021,1/24/2022,Norwich,91 PROSPECT ST,"107,900.00","195,000.00",0.5533,Residential,Two Family,,,,POINT (-72.058309983 41.532027019)
2100239,2021,1/24/2022,New Milford,2 WEDGEWOOD DR,"265,580.00","479,900.00",0.55340696,Residential,Single Family,,SALES RATIO,,POINT (-73.381267001 41.572469995)
210588,2021,1/24/2022,Norwalk,15 BAXTER DR,"237,950.00","450,000.00",0.5287,Residential,Single Family,,2-90-63-0,,POINT (-73.412507024 41.085918998)
210165,2021,1/24/2022,Stonington,8 CASTLE MEADOW DR,"129,800.00","239,000.00",0.543,Residential,Condo,,,,POINT (-71.852221029 41.374297999)
2100066,2021,1/24/2022,Prospect,139 SUMMIT RD,"92,140.00","92,500.00",0.996108108,Residential,Single Family,14 - Foreclosure,SOLD OUT OF FORECLOSURE,,POINT (-72.962527989 41.521127988)
210195,2021,1/24/2022,New London,57 ASHCRAFT RD,"132,860.00","190,000.00",0.6992,Residential,Four Family,25 - Other,TRUSTEES DEED,,POINT (-72.111608997 41.358007016)
210194,2021,1/24/2022,Newington,39 CORTLAND WAY,"136,180.00","240,000.00",0.5674,Residential,Condo,,,,POINT (-72.715097979 41.658854015)
210195,2021,1/24/2022,Newington,93 RIVER CAMP DR,"121,700.00","205,000.00",0.5936,Residential,Condo,,,,POINT (-72.737720987 41.710377993)
21037,2021,1/24/2022,Salisbury,44 DUGWAY ROAD,"1,344,140.00","1,815,000.00",0.7405,Residential,Single Family,,,,POINT (-73.37601599 41.936668005)
210794,2021,1/24/2022,Waterbury,68 IRVINGTON AVE,"86,260.00","245,000.00",0.352,Residential,Single Family,,,,POINT (-73.069003976 41.573831007)
2100818,2021,1/24/2022,Stamford,60 STRAWBERRY HILL AVE #617,"81,490.00","140,000.00",0.582,Residential,Condo,,,,POINT (-73.53338597 41.062373017)
210109,2021,1/24/2022,Suffield,41 STRATTON FARMS RD,"332,080.00","650,000.00",0.5108,Residential,Single Family,,,,POINT (-72.75261697 42.005626006)
210100,2021,1/24/2022,Rocky Hill,19 RIVERVIEW ROAD,"145,390.00","340,000.00",0.4276,Residential,Single Family,,,,POINT (-72.634818038 41.668128004)
210570,2021,1/24/2022,Southington,220 WELCH RD,"201,060.00","360,000.00",0.5585,Residential,Single Family,,,,POINT (-72.90820303 41.634008)
210210,2021,1/24/2022,South Windsor,55 SKYLINE DR,"175,200.00","365,000.00",0.48,Residential,Single Family,,,,POINT (-72.560637692 41.854819684)
210798,2021,1/24/2022,Waterbury,511 LAKEWOOD RD,"281,180.00","318,500.00",0.8828,Commercial,,,,,POINT (-73.012558982 41.575443014)
210089,2021,1/24/2022,Tolland,170 WILLIE CIRCLE,"117,800.00","255,000.00",0.4619,Residential,Single Family,,,,POINT (-72.405962996 41.891472992)
210593,2021,1/24/2022,Norwalk,42 BAXTER DR,"258,273.00","320,000.00",0.8071,Residential,Single Family,,2-90-71-0,,POINT (-73.412582964 41.085338006)
